condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,key_instr_study.rt,next_study.keys,next_study.rt,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,key_instr_test.keys,learn_loop.thisRepN,learn_loop.thisTrialN,learn_loop.thisN,learn_loop.thisIndex,learn_loop.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_instr_test.rt,duration,yes_or_no.x,yes_or_no.y,yes_or_no.leftButton,yes_or_no.midButton,yes_or_no.rightButton,yes_or_no.time,yes_or_no.clicked_name,test_response.stim,test_response.resp,test_response.eval,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,instr_movie_key.keys,instr_movie_key.rt,return_to_exp.keys,return_to_exp.rt,instr_assess_key.keys,instr_assess_key.rt,assess_loop.thisRepN,assess_loop.thisTrialN,assess_loop.thisN,assess_loop.thisIndex,assess_loop.ran,ans_gen_loop.thisRepN,ans_gen_loop.thisTrialN,ans_gen_loop.thisN,ans_gen_loop.thisIndex,ans_gen_loop.ran,sen,ans,instr_transfer_key.keys,instr_transfer_key.rt,transfer_response.resp,transfer_response.eval,select_word.x,select_word.y,select_word.leftButton,select_word.midButton,select_word.rightButton,select_word.time,select_word.clicked_name,transfers.thisRepN,transfers.thisTrialN,transfers.thisN,transfers.thisIndex,transfers.ran,end_experiment.keys,end_experiment.rt
2,return,34.805485,return,14.12803,0,0,0,0,1,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,return,41.188685,1,0,1,0,1,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,return,10.368015,0,0,0,0,1,TAJIRI,MERCHANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,1,1,1,1,KASUKU,PARROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,2,2,2,1,FAHILI,BULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,3,3,3,1,SAHANI,PLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,4,4,4,1,HAMIRA,YEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,5,5,5,1,LAWAMA,BLAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,6,6,6,1,YAMINI,OATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,7,7,7,1,NAFAKA,CORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,8,8,8,1,UTENZI,POEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,9,9,9,1,MSHONI,TAILOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,10,10,10,1,JIBINI,CHEESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,11,11,11,1,ZABIBU,GRAPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,12,12,12,1,KABURI,GRAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576948,2020-10-18_16h59.19.928,swahili,2020.2.4,Linux x86_64,60,,,0,13,13,13,1,SAMADI,MANURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
